,Sector,Year,FDI($)
386,ELECTRICAL EQUIPMENTS,2007,76.85
387,COMPUTER SOFTWARE & HARDWARE,2007,2613.33
388,ELECTRONICS,2007,42.14
389,TELECOMMUNICATIONS,2007,476.51
390,INFORMATION & BROADCASTING,2007,75.7
391,AUTOMOBILE INDUSTRY,2007,260.72
392,AIR TRANSPORT,2007,62.29
393,SEA TRANSPORT,2007,72.52
394,PORTS,2007,0.0
395,RAILWAY RELATED COMPONENTS,2007,25.82
396,INDUSTRIAL MACHINERY,2007,25.96
397,MACHINE TOOLS,2007,37.28
398,AGRICULTURAL MACHINERY,2007,25.19
399,EARTH-MOVING MACHINERY,2007,0.99
400,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2007,84.44
401,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2007,5.42
402,MEDICAL AND SURGICAL APPLIANCES,2007,13.43
403,INDUSTRIAL INSTRUMENTS,2007,0.0
404,SCIENTIFIC INSTRUMENTS,2007,0.07
405,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2007,0.0
406,FERTILIZERS,2007,5.01
407,CHEMICALS,2007,138.85
408,PHOTOGRAPHIC RAW FILM AND PAPER,2007,2.81
409,DYE-STUFFS,2007,0.0
410,DRUGS & PHARMACEUTICALS,2007,224.2
411,"TEXTILES (INCLUDING DYED,PRINTED)",2007,126.9
412,PAPER AND PULP,2007,5.08
413,SUGAR,2007,9.85
414,FERMENTATION INDUSTRIES,2007,27.58
415,FOOD PROCESSING INDUSTRIES,2007,102.0
416,VEGETABLE OILS AND VANASPATI,2007,16.22
417,"SOAPS, COSMETICS & TOILET PREPARATIONS",2007,6.04
418,RUBBER GOODS,2007,18.75
419,"LEATHER,LEATHER GOODS AND PICKERS",2007,8.26
420,GLUE AND GELATIN,2007,0.0
421,GLASS,2007,1.43
422,CERAMICS,2007,122.23
423,CEMENT AND GYPSUM PRODUCTS,2007,242.47
424,TIMBER PRODUCTS,2007,0.0
425,DEFENCE INDUSTRIES,2007,0.0
426,CONSULTANCY SERVICES,2007,114.68
427,SERVICES SECTOR,2007,4713.78
428,HOSPITAL & DIAGNOSTIC CENTRES,2007,38.14
429,EDUCATION,2007,41.81
430,HOTEL & TOURISM,2007,195.66
431,TRADING,2007,114.65
432,RETAIL TRADING,2007,0.0
433,AGRICULTURE SERVICES,2007,12.53
434,"DIAMOND,GOLD ORNAMENTS",2007,61.97
435,TEA AND COFFEE,2007,6.2
436,PRINTING OF BOOKS,2007,20.04
437,COIR,2007,0.04
438,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2007,64.06
439,CONSTRUCTION DEVELOPMENT,2007,1392.95
440,MISCELLANEOUS INDUSTRIES,2007,304.87
441,METALLURGICAL INDUSTRIES,2008,1175.75
442,MINING,2008,444.36
443,POWER,2008,988.68
444,NON-CONVENTIONAL ENERGY,2008,58.82
445,COAL PRODUCTION,2008,14.08
446,PETROLEUM & NATURAL GAS,2008,1405.04
447,BOILERS AND STEAM GENERATING PLANTS,2008,1.51
448,PRIME MOVER,2008,40.53
449,ELECTRICAL EQUIPMENTS,2008,653.74
450,COMPUTER SOFTWARE & HARDWARE,2008,1382.25
451,ELECTRONICS,2008,136.03
452,TELECOMMUNICATIONS,2008,1260.7
453,INFORMATION & BROADCASTING,2008,288.49
454,AUTOMOBILE INDUSTRY,2008,656.1
455,AIR TRANSPORT,2008,99.08
456,SEA TRANSPORT,2008,128.36
457,PORTS,2008,918.18
458,RAILWAY RELATED COMPONENTS,2008,12.41
459,INDUSTRIAL MACHINERY,2008,119.57
460,MACHINE TOOLS,2008,56.87
461,AGRICULTURAL MACHINERY,2008,6.72
462,EARTH-MOVING MACHINERY,2008,67.94
463,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2008,211.15
464,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2008,9.83
465,MEDICAL AND SURGICAL APPLIANCES,2008,13.17
466,INDUSTRIAL INSTRUMENTS,2008,2.23
467,SCIENTIFIC INSTRUMENTS,2008,0.0
468,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2008,1.27
469,FERTILIZERS,2008,1.95
470,CHEMICALS,2008,233.7
471,PHOTOGRAPHIC RAW FILM AND PAPER,2008,54.86
472,DYE-STUFFS,2008,5.51
473,DRUGS & PHARMACEUTICALS,2008,340.35
474,"TEXTILES (INCLUDING DYED,PRINTED)",2008,185.4
475,PAPER AND PULP,2008,31.24
476,SUGAR,2008,10.07
477,FERMENTATION INDUSTRIES,2008,270.05
478,FOOD PROCESSING INDUSTRIES,2008,70.17
479,VEGETABLE OILS AND VANASPATI,2008,1.53
480,"SOAPS, COSMETICS & TOILET PREPARATIONS",2008,6.38
481,RUBBER GOODS,2008,15.12
482,"LEATHER,LEATHER GOODS AND PICKERS",2008,7.46
483,GLUE AND GELATIN,2008,2.28
484,GLASS,2008,11.04
485,CERAMICS,2008,115.11
486,CEMENT AND GYPSUM PRODUCTS,2008,16.89
487,TIMBER PRODUCTS,2008,0.39
488,DEFENCE INDUSTRIES,2008,0.0
489,CONSULTANCY SERVICES,2008,233.32
490,SERVICES SECTOR,2008,6986.17
491,HOSPITAL & DIAGNOSTIC CENTRES,2008,241.76
492,EDUCATION,2008,43.59
493,HOTEL & TOURISM,2008,421.47
494,TRADING,2008,345.02
495,RETAIL TRADING,2008,1.27
496,AGRICULTURE SERVICES,2008,58.13
497,"DIAMOND,GOLD ORNAMENTS",2008,59.15
498,TEA AND COFFEE,2008,18.94
499,PRINTING OF BOOKS,2008,35.54
500,COIR,2008,0.01
501,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2008,182.92
502,CONSTRUCTION DEVELOPMENT,2008,3887.33
503,MISCELLANEOUS INDUSTRIES,2008,528.42
504,METALLURGICAL INDUSTRIES,2009,959.94
505,MINING,2009,34.16
506,POWER,2009,907.66
507,NON-CONVENTIONAL ENERGY,2009,125.88
508,COAL PRODUCTION,2009,0.22
509,PETROLEUM & NATURAL GAS,2009,349.29
510,BOILERS AND STEAM GENERATING PLANTS,2009,0.0
511,PRIME MOVER,2009,74.88
512,ELECTRICAL EQUIPMENTS,2009,417.35
513,COMPUTER SOFTWARE & HARDWARE,2009,1543.34
514,ELECTRONICS,2009,147.51
515,TELECOMMUNICATIONS,2009,2548.63
516,INFORMATION & BROADCASTING,2009,735.04
517,AUTOMOBILE INDUSTRY,2009,1150.03
518,AIR TRANSPORT,2009,61.37
519,SEA TRANSPORT,2009,50.21
520,PORTS,2009,493.15
521,RAILWAY RELATED COMPONENTS,2009,18.01
522,INDUSTRIAL MACHINERY,2009,110.54
523,MACHINE TOOLS,2009,45.66
524,AGRICULTURAL MACHINERY,2009,5.57
525,EARTH-MOVING MACHINERY,2009,2.27
526,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2009,142.31
527,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2009,12.63
528,MEDICAL AND SURGICAL APPLIANCES,2009,75.42
529,INDUSTRIAL INSTRUMENTS,2009,17.48
530,SCIENTIFIC INSTRUMENTS,2009,0.83
531,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2009,0.0
532,FERTILIZERS,2009,133.75
533,CHEMICALS,2009,651.22
534,PHOTOGRAPHIC RAW FILM AND PAPER,2009,1.05
535,DYE-STUFFS,2009,1.17
536,DRUGS & PHARMACEUTICALS,2009,4246.76
537,"TEXTILES (INCLUDING DYED,PRINTED)",2009,157.52
538,PAPER AND PULP,2009,272.51
539,SUGAR,2009,5.01
